episode,reward,length,epsilon,pellets,win
1,1096.0000000000077,300,0.9995,57,0
2,1378.0000000000098,300,0.9990002500000001,72,0
3,956.7000000000025,146,0.9985007498750001,59,0
4,828.6500000000042,187,0.9980014995000627,53,0
5,395.1000000000001,58,0.9975024987503127,30,0
6,1036.0000000000095,300,0.9970037475009376,55,0
7,377.55000000000217,149,0.9965052456271871,30,0
8,764.0500000000031,119,0.9960069930043736,49,0
9,-23.250000000000142,25,0.9955089895078715,9,0
10,406.8000000000016,104,0.9950112350131176,31,0
11,1263.0000000000111,300,0.9945137293956111,65,0
12,78.79999999999984,24,0.9940164725309134,14,0
13,635.9000000000008,282,0.993519464294648,45,0
14,1171.0000000000105,300,0.9930227045625007,61,0
15,346.9499999999993,81,0.9925261932102195,28,0
16,1123.0000000000084,300,0.9920299301136144,58,0
17,442.3000000000026,194,0.9915339151485576,34,0
18,697.200000000003,216,0.9910381481909833,47,0
19,527.3000000000027,114,0.990542629116888,37,0
20,144.99999999999966,60,0.9900473578023296,18,0
21,536.5000000000002,110,0.9895523341234285,38,0
22,187.94999999999953,61,0.9890575579563669,20,0
23,504.900000000004,142,0.9885630291773887,36,0
24,498.8500000000001,123,0.9880687476628001,36,0
25,331.64999999999947,67,0.9875747132889687,27,0
26,1128.0000000000095,300,0.9870809259323243,59,0
27,873.6000000000042,168,0.9865873854693582,55,0
28,216.39999999999952,52,0.9860940917766235,21,0
29,949.7000000000039,166,0.9856010447307353,59,0
30,373.34999999999997,53,0.98510824420837,29,0
31,1252.0000000000093,300,0.9846156900862658,65,0
32,920.5000000000043,170,0.9841233822412228,57,0
33,1235.0000000000086,300,0.9836313205501022,64,0
34,1053.0000000000111,300,0.9831395048898272,56,0
35,1433.0000000000095,300,0.9826479351373822,74,0
36,446.60000000000065,88,0.9821566111698136,33,0
37,869.0000000000107,300,0.9816655328642288,46,0
38,1032.10000000001,298,0.9811747000977967,64,0
39,866.9000000000074,222,0.9806841127477479,55,0
40,1315.0000000000114,300,0.9801937706913741,68,0
41,269.64999999999935,67,0.9797036738060285,24,0
42,333.94999999999976,61,0.9792138219691255,27,0
43,772.7000000000085,266,0.978724215058141,50,0
44,463.15000000000106,77,0.978234852950612,34,0
45,141.7999999999995,64,0.9777457355241367,18,0
46,779.2500000000043,215,0.9772568626563747,51,0
47,809.650000000004,147,0.9767682342250465,51,0
48,271.0499999999995,59,0.976279850107934,24,0
49,272.59999999999957,48,0.9757917101828801,24,0
50,194.94999999999965,41,0.9753038143277888,20,0
51,535.0500000000018,159,0.974816162420625,38,0
52,1284.0000000000102,300,0.9743287543394147,66,0
53,1092.5500000000063,269,0.973841589962245,67,0
54,363.99999999999926,80,0.973354669167264,29,0
55,625.8500000000008,123,0.9728679918326804,42,0
56,71.89999999999975,42,0.972381557836764,14,0
57,-21.700000000000017,14,0.9718953670578457,9,0
58,116.64999999999958,47,0.9714094193743169,16,0
59,596.6000000000026,108,0.9709237146646298,41,0
60,1221.2500000000098,295,0.9704382528072976,73,0
61,756.7500000000025,145,0.9699530336808939,49,0
62,773.0000000000094,300,0.9694680571640535,40,0
63,822.250000000005,195,0.9689833231354715,53,0
64,1113.0000000000073,300,0.9684988314739038,58,0
65,1093.0000000000084,300,0.9680145820581669,57,0
66,585.0000000000023,120,0.9675305747671379,40,0
67,1090.0000000000111,300,0.9670468094797544,57,0
68,56.84999999999994,23,0.9665632860750146,13,0
69,894.450000000005,191,0.9660800044319772,56,0
70,507.2000000000019,96,0.9655969644297613,36,0
71,430.59999999999974,108,0.9651141659475465,32,0
72,1298.0000000000084,300,0.9646316088645728,67,0
73,212.79999999999973,44,0.9641492930601405,21,0
74,593.0500000000027,119,0.9636672184136105,40,0
75,318.84999999999894,103,0.9631853848044037,27,0
76,854.0000000000092,300,0.9627037921120016,45,0
77,191.99999999999955,60,0.9622224402159457,20,0
78,842.0000000000085,300,0.9617413289958378,44,0
79,680.800000000004,184,0.9612604583313399,45,0
80,853.5500000000093,269,0.9607798281021742,56,0
81,887.2000000000053,196,0.9602994381881231,56,0
82,358.3999999999999,112,0.9598192884690291,29,0
83,1397.00000000001,300,0.9593393788247946,72,0
84,127.44999999999885,111,0.9588597091353822,18,0
85,704.850000000002,103,0.9583802792808146,46,0
86,91.69999999999987,26,0.9579010891411742,15,0
87,1137.0000000000107,300,0.9574221385966036,60,0
88,327.8999999999999,62,0.9569434275273054,27,0
89,630.5500000000027,109,0.9564649558135419,42,0
90,96.74999999999983,25,0.9559867233356352,15,0
91,113.34999999999974,33,0.9555087299739674,16,0
92,655.200000000001,276,0.9550309756089804,45,0
93,1333.0000000000095,300,0.954553460121176,69,0
94,696.1500000000037,137,0.9540761833911156,46,0
95,1215.0000000000098,300,0.95359914529942,63,0
96,288.4499999999995,71,0.9531223457267703,25,0
97,1363.000000000009,300,0.952645784553907,71,0
98,713.4500000000053,171,0.9521694616616301,47,0
99,918.0000000000057,200,0.9516933769307994,57,0
100,92.44999999999953,51,0.951217530242334,15,0
101,1426.000000000011,300,0.9507419214772129,74,0
102,14.549999999999955,29,0.9502665505164744,11,0
103,239.9499999999985,141,0.9497914172412162,23,0
104,594.0000000000014,120,0.9493165215325956,41,0
105,-21.650000000000034,13,0.9488418632718294,9,0
106,649.2500000000064,195,0.9483674423401935,44,0
107,691.9500000000089,261,0.9478932586190235,47,0
108,425.04999999999967,99,0.9474193119897141,32,0
109,1161.0000000000089,300,0.9469456023337193,60,0
110,599.6500000000019,127,0.9464721295325524,41,0
111,293.8499999999994,63,0.9459988934677862,25,0
112,256.5999999999997,48,0.9455258940210524,23,0
113,1170.0000000000095,300,0.9450531310740419,61,0
114,803.1000000000054,178,0.9445806045085049,51,0
115,14.949999999999903,21,0.9441083142062507,11,0
116,416.09999999999985,58,0.9436362600491477,31,0
117,127.09999999999991,38,0.9431644419191232,17,0
118,117.84999999999985,23,0.9426928596981636,16,0
119,1351.0000000000102,300,0.9422215132683146,69,0
120,1323.000000000011,300,0.9417504025116805,68,0
121,1253.0000000000098,300,0.9412795273104247,65,0
122,187.8499999999995,63,0.9408088875467696,20,0
123,393.4000000000029,172,0.9403384831029963,31,0
124,541.5500000000029,129,0.9398683138614449,38,0
125,986.0000000000053,300,0.9393983797045142,52,0
126,1430.0000000000102,300,0.938928680514662,74,0
127,189.1999999999988,136,0.9384592161744048,21,0
128,807.0000000000086,300,0.9379899865663176,43,0
129,688.1000000000026,178,0.9375209915730345,46,0
130,683.5000000000016,110,0.937052231077248,45,0
131,347.95000000000056,81,0.9365837049617094,28,0
132,301.1999999999991,96,0.9361154131092286,26,0
133,1229.000000000008,300,0.9356473554026741,64,0
134,132.69999999999987,26,0.9351795317249728,17,0
135,454.4500000000002,51,0.9347119419591103,33,0
136,702.0500000000025,199,0.9342445859881309,47,0
137,149.14999999999952,57,0.9337774636951368,18,0
138,949.2500000000043,175,0.9333105749632893,59,0
139,959.600000000006,208,0.9328439196758077,59,0
140,708.5000000000032,170,0.9323774977159699,47,0
141,637.350000000002,133,0.9319113089671119,43,0
142,993.6500000000087,247,0.9314453533126285,62,0
143,235.74999999999875,125,0.9309796306359722,23,0
144,97.69999999999987,26,0.9305141408206543,15,0
145,38.1999999999999,16,0.9300488837502441,12,0
146,216.59999999999968,48,0.9295838593083691,21,0
147,663.4000000000087,252,0.929119067378715,45,0
148,133.4999999999999,30,0.9286545078450257,17,0
149,729.2000000000053,236,0.9281901805911033,48,0
150,1078.8500000000083,283,0.9277260855008077,66,0
151,1046.5000000000073,230,0.9272622224580573,64,0
152,941.1000000000056,258,0.9267985913468284,60,0
153,921.250000000005,235,0.926335192051155,58,0
154,510.2500000000011,155,0.9258720244551295,38,0
155,193.1499999999997,37,0.925409088442902,20,0
156,994.0000000000118,300,0.9249463838986807,52,0
157,529.2500000000009,75,0.9244839107067314,37,0
158,845.1500000000024,197,0.9240216687513781,54,0
159,236.7499999999991,105,0.9235596579170025,23,0
160,1069.0000000000057,300,0.923097878088044,56,0
161,443.6000000000009,88,0.9226363291490001,33,0
162,817.1000000000029,138,0.9221750109844257,52,0
163,358.6000000000002,108,0.9217139234789336,29,0
164,115.44999999999993,31,0.9212530665171942,16,0
165,1215.0000000000082,300,0.9207924399839357,63,0
166,448.15000000000094,137,0.9203320437639437,34,0
167,645.2500000000011,115,0.9198718777420618,43,0
168,1234.00000000001,300,0.9194119418031909,64,0
169,1125.2500000000086,275,0.9189522358322894,68,0
170,566.8500000000008,143,0.9184927597143733,39,0
171,606.8500000000006,103,0.9180335133345161,41,0
172,430.2499999999996,75,0.917574496577849,32,0
173,217.34999999999974,33,0.9171157093295601,21,0
174,77.49999999999977,30,0.9166571514748953,14,0
175,465.35000000000076,113,0.916198822899158,34,0
176,-23.950000000000074,19,0.9157407234877085,9,0
177,784.900000000004,162,0.9152828531259647,51,0
178,236.34999999999957,53,0.9148252116994018,22,0
179,531.7000000000005,86,0.9143677990935521,37,0
180,557.400000000004,152,0.9139106151940054,40,0
181,468.40000000000083,72,0.9134536598864085,34,0
182,529.6000000000013,88,0.9129969330564653,37,0
183,614.1500000000042,157,0.9125404345899372,42,0
184,750.1500000000021,97,0.9120841643726423,48,0
185,1387.0000000000102,300,0.911628122290456,72,0
186,1146.0000000000116,300,0.9111723082293108,60,0
187,695.0500000000031,139,0.9107167220751963,46,0
188,148.69999999999948,66,0.9102613637141588,18,0
189,352.19999999999976,76,0.9098062330323018,28,0
190,1068.8000000000054,244,0.9093513299157857,66,0
191,597.6000000000022,128,0.9088966542508279,41,0
192,254.69999999999948,66,0.9084422059237025,23,0
193,1115.000000000011,300,0.9079879848207407,58,0
194,254.64999999999964,47,0.9075339908283304,23,0
195,698.2500000000048,155,0.9070802238329163,46,0
196,739.750000000002,145,0.9066266837209999,48,0
197,1134.90000000001,282,0.9061733703791394,69,0
198,900.0000000000074,300,0.9057202836939499,49,0
199,136.09999999999974,38,0.9052674235521029,17,0
200,1205.000000000011,300,0.9048147898403269,63,0
201,1232.9000000000087,262,0.9043623824454068,74,0
202,345.04999999999933,79,0.9039102012541841,28,0
203,209.59999999999934,68,0.9034582461535571,21,0
204,779.5000000000064,190,0.9030065170304803,50,0
205,770.0500000000061,219,0.9025550137719651,51,0
206,1127.0000000000102,300,0.9021037362650792,59,0
207,115.39999999999975,32,0.9016526843969468,16,0
208,1186.0000000000111,300,0.9012018580547484,62,0
209,333.59999999999985,48,0.900751257125721,27,0
210,108.69999999999959,46,0.9003008814971583,16,0
211,1155.6000000000095,268,0.8998507310564098,70,0
212,1153.0000000000089,300,0.8994008056908817,60,0
213,1194.0000000000093,300,0.8989511052880362,62,0
214,470.600000000001,88,0.8985016297353923,34,0
215,-0.8000000000000398,16,0.8980523789205246,10,0
216,546.650000000001,87,0.8976033527310644,38,0
217,1190.0000000000105,300,0.8971545510546989,62,0
218,1117.0000000000098,300,0.8967059737791716,58,0
219,1371.0000000000093,300,0.8962576207922821,71,0
220,1261.0000000000118,300,0.895809491981886,65,0
221,564.5500000000006,109,0.8953615872358951,39,0
222,778.8500000000101,283,0.8949139064422772,51,0
223,1318.0000000000102,300,0.8944664494890561,68,0
224,573.4000000000037,132,0.8940192162643116,40,0
225,1221.0000000000086,300,0.8935722066561794,63,0
226,97.09999999999991,18,0.8931254205528514,15,0
227,643.4500000000014,111,0.8926788578425751,43,0
228,1348.0000000000075,300,0.8922325184136538,70,0
229,429.55000000000024,69,0.891786402154447,32,0
230,361.75000000000153,105,0.8913405089533699,29,0
231,197.9499999999997,41,0.8908948386988933,20,0
232,815.900000000003,162,0.8904493912795439,52,0
233,1232.0000000000102,300,0.8900041665839042,64,0
234,921.3000000000072,234,0.8895591645006123,58,0
235,625.500000000002,110,0.889114384918362,42,0
236,1274.0000000000111,300,0.8886698277259029,66,0
237,1068.0000000000107,300,0.88822549281204,55,0
238,1035.6500000000083,287,0.887781380065634,64,0
239,1286.0000000000111,300,0.8873374893756012,66,0
240,816.6000000000101,288,0.8868938206309135,53,0
241,124.84999999999962,43,0.8864503737205981,17,0
242,168.94999999999965,41,0.8860071485337379,19,0
243,569.0000000000009,120,0.885564144959471,39,0
244,77.59999999999985,28,0.8851213628869913,14,0
245,1160.0000000000089,300,0.8846788022055478,60,0
246,909.6500000000058,187,0.8842364628044451,57,0
247,295.6999999999996,46,0.883794344573043,25,0
248,1153.2000000000098,296,0.8833524474007565,70,0
249,919.7500000000057,245,0.8829107711770562,58,0
250,17.999999999999943,20,0.8824693157914677,11,0
251,690.0000000000025,120,0.882028081133572,45,0
252,737.850000000007,243,0.8815870670930053,49,0
253,975.800000000009,284,0.8811462735594588,61,0
254,1384.000000000011,300,0.8807057004226791,71,0
255,317.3999999999995,52,0.8802653475724679,26,0
256,289.8499999999994,63,0.8798252148986817,25,0
257,455.70000000000033,66,0.8793853022912325,33,0
258,76.94999999999987,21,0.8789456096400869,14,0
259,1070.4500000000085,271,0.8785061368352669,65,0
260,90.54999999999956,49,0.8780668837668493,15,0
261,1013.2000000000066,196,0.8776278503249659,62,0
262,539.7500000000009,125,0.8771890363998035,38,0
263,1104.3000000000068,214,0.8767504418816037,67,0
264,837.1000000000033,158,0.876312066660663,53,0
265,234.59999999999957,48,0.8758739106273327,22,0
266,1103.0000000000089,300,0.8754359736720191,57,0
267,543.300000000004,174,0.8749982556851831,39,0
268,897.0000000000078,300,0.8745607565573406,47,0
269,1206.0000000000098,300,0.8741234761790619,63,0
