episode,reward,length,epsilon
1,-100,38,0.9995
2,-60,33,0.9990002500000001
3,-100,27,0.9985007498750001
4,260,167,0.9980014995000627
5,10,101,0.9975024987503127
6,150,167,0.9970037475009376
7,180,191,0.9965052456271871
8,-80,36,0.9960069930043736
9,-20,51,0.9955089895078715
10,150,176,0.9950112350131176
11,-70,45,0.9945137293956111
12,-20,38,0.9940164725309134
13,100,92,0.993519464294648
14,100,145,0.9930227045625007
15,420,300,0.9925261932102195
16,20,68,0.9920299301136144
17,20,79,0.9915339151485576
18,190,183,0.9910381481909833
19,-80,52,0.990542629116888
20,-10,49,0.9900473578023296
21,0,39,0.9895523341234285
22,260,244,0.9890575579563669
23,140,229,0.9885630291773887
24,100,99,0.9880687476628001
25,150,114,0.9875747132889687
26,80,74,0.9870809259323243
27,-50,64,0.9865873854693582
28,-110,31,0.9860940917766235
29,460,300,0.9856010447307353
30,10,69,0.98510824420837
31,230,196,0.9846156900862658
32,260,265,0.9841233822412228
33,-40,26,0.9836313205501022
34,-50,33,0.9831395048898272
35,160,105,0.9826479351373822
36,-90,30,0.9821566111698136
37,-60,31,0.9816655328642288
38,80,105,0.9811747000977967
39,580,286,0.9806841127477479
40,180,100,0.9801937706913741
41,580,253,0.9797036738060285
42,70,52,0.9792138219691255
43,210,224,0.978724215058141
44,-40,61,0.978234852950612
45,-140,18,0.9777457355241367
46,-120,15,0.9772568626563747
47,-100,14,0.9767682342250465
48,-100,54,0.976279850107934
49,90,140,0.9757917101828801
50,10,40,0.9753038143277888
51,-120,52,0.974816162420625
52,-120,30,0.9743287543394147
53,-90,64,0.973841589962245
54,120,151,0.973354669167264
55,-70,29,0.9728679918326804
56,420,300,0.972381557836764
57,-80,65,0.9718953670578457
58,-90,26,0.9714094193743169
59,80,195,0.9709237146646298
60,-70,39,0.9704382528072976
61,-100,15,0.9699530336808939
62,-80,60,0.9694680571640535
63,-80,33,0.9689833231354715
64,-110,35,0.9684988314739038
65,110,82,0.9680145820581669
66,130,101,0.9675305747671379
67,100,167,0.9670468094797544
68,30,113,0.9665632860750146
69,210,173,0.9660800044319772
70,-50,32,0.9655969644297613
71,60,57,0.9651141659475465
72,0,64,0.9646316088645728
73,230,267,0.9641492930601405
74,-40,44,0.9636672184136105
75,220,295,0.9631853848044037
76,10,72,0.9627037921120016
77,580,280,0.9622224402159457
78,-120,46,0.9617413289958378
79,40,59,0.9612604583313399
80,40,89,0.9607798281021742
81,190,150,0.9602994381881231
82,-100,35,0.9598192884690291
83,-50,86,0.9593393788247946
84,40,112,0.9588597091353822
85,-70,35,0.9583802792808146
86,580,283,0.9579010891411742
87,-10,115,0.9574221385966036
88,90,73,0.9569434275273054
89,370,300,0.9564649558135419
90,250,273,0.9559867233356352
91,10,43,0.9555087299739674
92,-70,26,0.9550309756089804
93,110,129,0.954553460121176
94,-90,47,0.9540761833911156
95,90,60,0.95359914529942
96,-20,57,0.9531223457267703
97,190,160,0.952645784553907
98,350,300,0.9521694616616301
99,0,91,0.9516933769307994
100,0,55,0.951217530242334
