episode,reward,length,epsilon
1,120,142,0.9995
2,150,239,0.9990002500000001
3,110,73,0.9985007498750001
4,-140,18,0.9980014995000627
5,30,68,0.9975024987503127
6,110,165,0.9970037475009376
7,90,105,0.9965052456271871
8,80,112,0.9960069930043736
9,-140,16,0.9955089895078715
10,220,187,0.9950112350131176
11,80,56,0.9945137293956111
12,-20,44,0.9940164725309134
13,-60,48,0.993519464294648
14,-30,98,0.9930227045625007
15,190,83,0.9925261932102195
16,350,300,0.9920299301136144
17,-60,44,0.9915339151485576
18,210,156,0.9910381481909833
19,-140,29,0.990542629116888
20,-160,12,0.9900473578023296
21,-80,39,0.9895523341234285
22,-100,28,0.9890575579563669
23,80,81,0.9885630291773887
24,-40,26,0.9880687476628001
25,30,151,0.9875747132889687
26,-50,73,0.9870809259323243
27,430,300,0.9865873854693582
28,10,51,0.9860940917766235
29,-20,71,0.9856010447307353
30,10,80,0.98510824420837
31,-50,33,0.9846156900862658
32,110,134,0.9841233822412228
33,10,54,0.9836313205501022
34,10,71,0.9831395048898272
35,-30,62,0.9826479351373822
36,-130,23,0.9821566111698136
37,90,141,0.9816655328642288
38,120,162,0.9811747000977967
39,-130,29,0.9806841127477479
40,-60,125,0.9801937706913741
41,10,62,0.9797036738060285
42,-50,24,0.9792138219691255
43,-60,44,0.978724215058141
44,-80,61,0.978234852950612
45,-10,46,0.9777457355241367
46,80,100,0.9772568626563747
47,220,173,0.9767682342250465
48,80,75,0.976279850107934
49,460,300,0.9757917101828801
50,250,268,0.9753038143277888
51,-60,90,0.974816162420625
52,100,134,0.9743287543394147
53,-110,20,0.973841589962245
54,150,189,0.973354669167264
55,-30,67,0.9728679918326804
56,190,141,0.972381557836764
57,220,226,0.9718953670578457
58,200,177,0.9714094193743169
59,-140,11,0.9709237146646298
60,180,293,0.9704382528072976
61,-30,30,0.9699530336808939
62,180,182,0.9694680571640535
63,-40,48,0.9689833231354715
64,100,92,0.9684988314739038
65,-90,24,0.9680145820581669
66,100,233,0.9675305747671379
67,120,66,0.9670468094797544
68,190,231,0.9665632860750146
69,150,207,0.9660800044319772
70,80,92,0.9655969644297613
71,10,115,0.9651141659475465
72,20,62,0.9646316088645728
73,-30,79,0.9641492930601405
74,-10,66,0.9636672184136105
75,-10,31,0.9631853848044037
76,90,216,0.9627037921120016
77,440,300,0.9622224402159457
78,80,82,0.9617413289958378
79,-10,45,0.9612604583313399
80,-120,18,0.9607798281021742
81,20,84,0.9602994381881231
82,-30,25,0.9598192884690291
83,190,163,0.9593393788247946
84,260,184,0.9588597091353822
85,-50,26,0.9583802792808146
86,190,186,0.9579010891411742
87,0,90,0.9574221385966036
88,210,162,0.9569434275273054
89,240,208,0.9564649558135419
90,220,139,0.9559867233356352
91,-100,32,0.9555087299739674
92,-120,31,0.9550309756089804
93,-130,48,0.954553460121176
94,0,101,0.9540761833911156
95,190,132,0.95359914529942
96,100,150,0.9531223457267703
97,-30,45,0.952645784553907
98,0,53,0.9521694616616301
99,340,300,0.9516933769307994
100,240,257,0.951217530242334
101,50,111,0.9507419214772129
102,20,156,0.9502665505164744
103,30,79,0.9497914172412162
104,20,91,0.9493165215325956
105,-120,49,0.9488418632718294
106,-100,18,0.9483674423401935
107,50,180,0.9478932586190235
108,0,104,0.9474193119897141
109,170,130,0.9469456023337193
110,290,300,0.9464721295325524
111,-90,52,0.9459988934677862
112,-100,28,0.9455258940210524
113,450,300,0.9450531310740419
114,60,200,0.9445806045085049
115,60,67,0.9441083142062507
116,220,204,0.9436362600491477
117,-30,42,0.9431644419191232
118,180,263,0.9426928596981636
119,-80,38,0.9422215132683146
120,170,188,0.9417504025116805
121,40,83,0.9412795273104247
122,-120,14,0.9408088875467696
123,10,60,0.9403384831029963
124,-110,41,0.9398683138614449
125,-30,62,0.9393983797045142
126,70,187,0.938928680514662
127,200,291,0.9384592161744048
128,200,152,0.9379899865663176
129,-120,11,0.9375209915730345
130,120,219,0.937052231077248
131,240,181,0.9365837049617094
132,-60,23,0.9361154131092286
133,-90,34,0.9356473554026741
134,40,102,0.9351795317249728
135,150,111,0.9347119419591103
136,320,300,0.9342445859881309
137,-120,13,0.9337774636951368
138,90,116,0.9333105749632893
139,50,51,0.9328439196758077
140,450,300,0.9323774977159699
141,130,220,0.9319113089671119
142,-30,53,0.9314453533126285
143,390,300,0.9309796306359722
144,60,148,0.9305141408206543
145,60,88,0.9300488837502441
146,140,155,0.9295838593083691
147,-70,51,0.929119067378715
148,50,169,0.9286545078450257
149,10,78,0.9281901805911033
150,-40,90,0.9277260855008077
151,10,75,0.9272622224580573
152,-30,48,0.9267985913468284
153,-20,46,0.926335192051155
154,-60,97,0.9258720244551295
155,-10,41,0.925409088442902
156,20,44,0.9249463838986807
157,0,43,0.9244839107067314
158,30,80,0.9240216687513781
159,-90,28,0.9235596579170025
160,-110,22,0.923097878088044
161,180,191,0.9226363291490001
162,-90,32,0.9221750109844257
163,-70,42,0.9217139234789336
164,10,130,0.9212530665171942
165,-20,56,0.9207924399839357
166,-70,83,0.9203320437639437
167,-70,42,0.9198718777420618
168,100,143,0.9194119418031909
169,10,59,0.9189522358322894
170,190,277,0.9184927597143733
171,-60,50,0.9180335133345161
172,180,177,0.917574496577849
173,-10,80,0.9171157093295601
174,0,106,0.9166571514748953
175,-60,124,0.916198822899158
176,50,212,0.9157407234877085
177,-40,39,0.9152828531259647
178,-40,50,0.9148252116994018
179,-90,19,0.9143677990935521
180,-20,121,0.9139106151940054
181,200,185,0.9134536598864085
182,240,286,0.9129969330564653
183,140,162,0.9125404345899372
184,-10,56,0.9120841643726423
185,-30,106,0.911628122290456
186,-70,58,0.9111723082293108
187,0,77,0.9107167220751963
188,60,150,0.9102613637141588
189,10,78,0.9098062330323018
190,-20,106,0.9093513299157857
191,-120,37,0.9088966542508279
192,-80,54,0.9084422059237025
193,60,54,0.9079879848207407
194,-100,36,0.9075339908283304
195,310,300,0.9070802238329163
196,110,200,0.9066266837209999
197,120,149,0.9061733703791394
198,-150,30,0.9057202836939499
199,130,171,0.9052674235521029
200,-10,132,0.9048147898403269
201,-80,49,0.9043623824454068
