episode,reward,shaped_reward,length,epsilon
1,210,112.93426406871174,211,0.9880885802850193
2,800,334.5656854249472,1000,0.9763190424896651
3,10,60.70142135623718,126,0.9646896965988426
4,60,69.56142135623729,125,0.9531988727279365
5,-50,38.034264068711984,74,0.9418449208830276
6,480,213.3012783195502,483,0.9306262107239671
7,500,218.53563491860953,493,0.9195411313302719
8,230,130.36568542494874,284,0.9085880909698089
9,260,116.38145774770251,183,0.8977655168702344
10,110,103.50142135623697,256,0.8870718549931565
11,20,103.21745043964374,343,0.8765055698109866
12,50,79.84115547878703,190,0.8660651440864496
13,160,91.21284271247455,144,0.8557490786547207
14,370,168.5985281374233,362,0.8455558922081563
15,750,286.7797341225488,612,0.83548412108359
16,70,73.49284271247448,146,0.8255323190521617
17,30,66.74710678118652,140,0.8156990571116501
18,190,140.7279963825229,380,0.8059829232812793
19,270,175.2542135623724,484,0.7963825223989689
20,560,290.6637323138094,1000,0.7868964759209998
21,-30,64.83137084989818,188,0.7775234217240655
22,380,275.7099494936594,907,0.7682620139096823
23,90,86.05831276631227,184,0.7591109226109277
24,240,181.9403578464359,551,0.7500688338014827
25,90,168.35684090373525,619,0.7411344491069471
26,10,63.41999999999983,140,0.7323064856184033
27,280,251.23705627484594,875,0.7235836757082
28,20,120.43137084989777,433,0.7149647668479312
29,70,128.78541954749852,430,0.7064485214285822
30,200,137.29994949366056,350,0.6980337165828188
31,-70,42.63228543157452,108,0.6897191440093929
32,70,85.55901875828238,202,0.6815036097996399
33,220,192.6870562748466,624,0.673385934266042
34,30,74.4956854249491,181,0.6653649517728348
35,480,275.7084271247442,1000,0.6574395105686307
36,-60,52.93917684164977,154,0.6496084726210363
37,130,90.63831276631231,170,0.6418707134532395
38,280,219.45388458332715,708,0.6342251219825439
39,40,105.89122781321183,339,0.626670600360825
40,-70,53.64568542494909,166,0.6192060638168883
41,-70,26.800000000000008,33,0.6118304405007042
42,110,82.10426406871171,144,0.6045426713294988
43,200,172.33279220613477,535,0.5973417098356775
44,40,84.15017779551644,223,0.5902265220165606
45,40,152.76989898732126,586,0.583196086185908
46,-40,125.15137084989759,515,0.5762493928272137
47,50,123.96137084989778,423,0.569385444448746
48,-60,98.17563491860986,393,0.5626032554403161
49,40,131.03196904778488,472,0.555901851931752
50,30,98.63994949366086,318,0.5492802716530579
51,-50,63.09710678118634,197,0.5427375637962397
52,-30,132.43912633531005,546,0.5362727888787766
53,-10,176.6561285365537,765,0.5298850186087183
54,-110,56.67994949366093,221,0.5235733357513895
55,30,94.47576938263549,288,0.5173368339976823
56,-20,150.45481176025905,632,0.5111746178339166
57,-70,58.966618987771,194,0.505085802413252
58,-130,33.653998191261834,119,0.49906951342862993
59,90,125.48923881554194,393,0.49312488698723034
60,-150,29.21165177402976,117,0.48725106948642305
61,70,117.58302050799074,371,0.48144721749119707
62,20,161.30110497244723,650,0.47571249761304985
63,20,86.53852813742363,254,0.4700460863903191
64,-40,65.08284271247436,197,0.4644471701699399
65,220,228.79821175363296,1000,0.4589149449906107
66,10,106.32994949366066,368,0.4534486164673503
67,-50,113.25968361621027,463,0.4480473996774304
68,-30,84.29724374446472,291,0.44271051904766684
69,-60,65.9992326780658,224,0.43743720824305315
