episode,reward,length,epsilon,pellets,win
1,2649.599999999958,628,0.9995,145,0
2,5499.849999999875,1083,0.9990002500000001,280,0
3,434.7000000000011,106,0.9985007498750001,32,0
4,2940.8499999999062,1083,0.9980014995000627,154,0
5,814.5000000000016,110,0.9975024987503127,51,0
6,5488.849999999886,1083,0.9970037475009376,280,0
7,4636.849999999855,1083,0.9965052456271871,237,0
8,4250.849999999869,1083,0.9960069930043736,218,0
9,4435.749999999915,865,0.9955089895078715,236,0
10,4103.1999999999025,916,0.9950112350131176,219,0
11,3477.7999999999106,724,0.9945137293956111,187,0
12,4193.799999999916,1004,0.9940164725309134,224,0
13,2522.549999999985,389,0.993519464294648,138,0
14,4291.7999999998965,864,0.9930227045625007,228,0
15,2575.4999999999914,550,0.9925261932102195,142,0
16,2843.1999999999302,1056,0.9920299301136144,157,0
17,874.3000000000015,94,0.9915339151485576,54,0
18,3304.199999999961,536,0.9910381481909833,178,0
19,1432.7000000000046,206,0.990542629116888,83,0
20,2576.59999999999,408,0.9900473578023296,140,0
21,4615.849999999863,1083,0.9895523341234285,235,0
22,1977.2500000000084,335,0.9890575579563669,111,0
23,2549.0999999999876,338,0.9885630291773887,139,0
24,3853.049999999895,939,0.9880687476628001,207,0
25,4981.84999999987,1083,0.9875747132889687,255,0
26,3247.249999999947,835,0.9870809259323243,178,0
27,4762.849999999896,1083,0.9865873854693582,245,0
28,3851.8499999998594,1083,0.9860940917766235,198,0
29,3702.449999999937,691,0.9856010447307353,200,0
30,2558.2499999999363,755,0.98510824420837,143,0
31,3202.9499999999593,681,0.9846156900862658,173,0
32,1468.200000000005,156,0.9841233822412228,84,0
33,4165.849999999908,1083,0.9836313205501022,215,0
34,4784.849999999851,1083,0.9831395048898272,245,0
35,4320.849999999918,1083,0.9826479351373822,221,0
36,1325.1000000000067,218,0.9821566111698136,77,0
37,5292.8499999998785,1083,0.9816655328642288,271,0
38,3224.7999999999524,864,0.9811747000977967,177,0
39,3405.9999999999477,820,0.9806841127477479,185,0
40,4917.8499999998985,1083,0.9801937706913741,251,0
41,4494.849999999916,1083,0.9797036738060285,232,0
42,3964.8499999998917,1083,0.9792138219691255,204,0
43,3039.0499999999493,699,0.978724215058141,166,0
44,4527.849999999853,1083,0.978234852950612,231,0
45,3840.9499999999102,781,0.9777457355241367,205,0
