episode,reward,length,epsilon,pellets,win
1,601.9000000000096,282,0.9995,43,0
2,100.64999999999958,67,0.9990002500000001,16,0
3,601.0500000000029,179,0.9985007498750001,41,0
4,56.24999999999977,35,0.9980014995000627,13,0
5,423.70000000000033,86,0.9975024987503127,32,0
6,1057.0000000000077,300,0.9970037475009376,55,0
7,231.94999999999874,121,0.9965052456271871,23,0
8,292.44999999999953,51,0.9960069930043736,25,0
9,38.94999999999993,21,0.9955089895078715,12,0
10,-23.950000000000017,19,0.9950112350131176,9,0
11,-93.69999999999993,34,0.9945137293956111,6,0
12,1039.0000000000075,300,0.9940164725309134,54,0
13,400.90000000000003,122,0.993519464294648,31,0
14,214.69999999999965,46,0.9930227045625007,21,0
15,191.59999999999957,48,0.9925261932102195,20,0
16,585.3500000000081,233,0.9920299301136144,41,0
17,736.000000000006,300,0.9915339151485576,40,0
18,54.84999999999994,23,0.9910381481909833,13,0
19,833.2500000000075,255,0.990542629116888,54,0
20,426.25000000000006,95,0.9900473578023296,32,0
21,656.2500000000039,155,0.9895523341234285,44,0
22,356.20000000000067,76,0.9890575579563669,28,0
23,249.59999999999962,48,0.9885630291773887,23,0
24,558.5500000000027,149,0.9880687476628001,39,0
25,802.5500000000054,229,0.9875747132889687,52,0
26,479.150000000003,237,0.9870809259323243,36,0
27,1013.0000000000077,300,0.9865873854693582,53,0
28,523.850000000001,103,0.9860940917766235,37,0
29,117.44999999999987,31,0.9856010447307353,16,0
30,253.9999999999995,60,0.98510824420837,23,0
31,390.9999999999988,140,0.9846156900862658,31,0
32,390.80000000000103,164,0.9841233822412228,31,0
33,662.2500000000032,215,0.9836313205501022,46,0
34,1105.0000000000102,300,0.9831395048898272,58,0
35,18.04999999999987,19,0.9826479351373822,11,0
36,653.9500000000055,221,0.9821566111698136,45,0
37,643.400000000003,132,0.9816655328642288,43,0
38,373.8000000000009,84,0.9811747000977967,29,0
39,749.0000000000043,240,0.9806841127477479,50,0
40,78.39999999999924,92,0.9801937706913741,15,0
41,232.2499999999991,95,0.9797036738060285,23,0
42,411.5500000000009,109,0.9792138219691255,32,0
43,836.3000000000065,274,0.978724215058141,54,0
44,442.60000000000144,108,0.978234852950612,33,0
45,306.4499999999993,71,0.9777457355241367,26,0
46,164.54999999999978,49,0.9772568626563747,19,0
47,687.8500000000058,243,0.9767682342250465,46,0
48,729.7000000000035,166,0.976279850107934,48,0
49,958.7500000000082,285,0.9757917101828801,61,0
50,-14.100000000000165,42,0.9753038143277888,10,0
51,635.7500000000043,205,0.974816162420625,44,0
52,801.1000000000067,238,0.9743287543394147,52,0
53,370.90000000000003,62,0.973841589962245,29,0
54,551.4500000000021,111,0.973354669167264,38,0
55,654.8000000000027,184,0.9728679918326804,44,0
56,528.3500000000054,193,0.972381557836764,38,0
57,421.70000000000203,126,0.9718953670578457,32,0
58,597.700000000001,266,0.9714094193743169,42,0
59,1098.0000000000107,300,0.9709237146646298,58,0
60,901.000000000008,300,0.9704382528072976,48,0
61,942.0000000000064,300,0.9699530336808939,50,0
62,495.550000000004,149,0.9694680571640535,36,0
63,55.599999999999824,28,0.9689833231354715,13,0
64,870.000000000009,300,0.9684988314739038,46,0
65,91.39999999999986,32,0.9680145820581669,15,0
66,251.04999999999956,59,0.9675305747671379,23,0
67,286.6499999999989,107,0.9670468094797544,25,0
68,423.7499999999996,125,0.9665632860750146,32,0
69,1001.00000000001,300,0.9660800044319772,53,0
70,1046.0000000000084,300,0.9655969644297613,55,0
71,147.54999999999933,69,0.9651141659475465,18,0
72,460.6999999999992,166,0.9646316088645728,35,0
73,111.59999999999957,48,0.9641492930601405,16,0
74,294.2999999999991,94,0.9636672184136105,26,0
75,735.7500000000059,285,0.9631853848044037,50,0
76,52.349999999999795,33,0.9627037921120016,13,0
77,392.4500000000001,71,0.9622224402159457,30,0
78,508.2500000000006,75,0.9617413289958378,36,0
79,102.74999999999943,65,0.9612604583313399,16,0
80,58.14999999999981,37,0.9607798281021742,13,0
81,729.2000000000035,156,0.9602994381881231,48,0
82,183.69999999999948,66,0.9598192884690291,20,0
83,304.4999999999994,70,0.9593393788247946,26,0
84,632.9000000000058,222,0.9588597091353822,44,0
85,38.99999999999986,20,0.9583802792808146,12,0
86,1040.0000000000073,300,0.9579010891411742,55,0
87,-9.500000000000142,30,0.9574221385966036,10,0
88,213.5499999999996,49,0.9569434275273054,21,0
89,1053.0000000000107,300,0.9564649558135419,55,0
90,314.5499999999998,49,0.9559867233356352,26,0
91,196.29999999999978,34,0.9555087299739674,20,0
92,616.9000000000026,142,0.9550309756089804,42,0
93,-11.100000000000193,42,0.954553460121176,10,0
94,697.7000000000087,246,0.9540761833911156,47,0
95,331.6999999999994,66,0.95359914529942,27,0
96,595.7000000000016,126,0.9531223457267703,41,0
97,1102.0000000000098,300,0.952645784553907,58,0
98,568.7500000000048,165,0.9521694616616301,40,0
99,55.84999999999985,23,0.9516933769307994,13,0
100,208.4499999999993,71,0.951217530242334,21,0
101,446.0500000000016,119,0.9507419214772129,33,0
102,577.300000000005,194,0.9502665505164744,40,0
103,1026.0000000000102,300,0.9497914172412162,54,0
104,1003.0000000000114,300,0.9493165215325956,53,0
105,615.6000000000035,148,0.9488418632718294,42,0
106,640.4000000000071,232,0.9483674423401935,44,0
107,127.44999999999953,71,0.9478932586190235,17,0
108,470.2500000000006,95,0.9474193119897141,34,0
109,397.0500000000006,59,0.9469456023337193,30,0
110,834.0000000000119,300,0.9464721295325524,44,0
111,1039.0000000000102,300,0.9459988934677862,54,0
112,185.2999999999994,74,0.9455258940210524,20,0
113,976.6000000000074,268,0.9450531310740419,61,0
114,1024.0000000000061,300,0.9445806045085049,54,0
115,204.94999999999897,101,0.9441083142062507,21,0
116,117.54999999999995,29,0.9436362600491477,16,0
117,37.049999999999955,19,0.9431644419191232,12,0
118,484.85000000000576,203,0.9426928596981636,36,0
119,559.8500000000022,123,0.9422215132683146,39,0
120,402.70000000000067,86,0.9417504025116805,31,0
121,1128.0000000000093,300,0.9412795273104247,59,0
122,1110.000000000011,300,0.9408088875467696,58,0
123,426.5500000000001,69,0.9403384831029963,32,0
124,467.70000000000033,86,0.9398683138614449,34,0
125,695.1000000000058,178,0.9393983797045142,46,0
126,405.24999999999994,95,0.938928680514662,32,0
127,-20.850000000000108,17,0.9384592161744048,9,0
128,332.04999999999967,59,0.9379899865663176,27,0
129,814.400000000006,192,0.9375209915730345,52,0
130,515.1500000000001,137,0.937052231077248,37,0
131,375.00000000000017,100,0.9365837049617094,29,0
132,832.2000000000048,236,0.9361154131092286,54,0
133,-20.75,15,0.9356473554026741,9,0
134,518.1500000000012,117,0.9351795317249728,37,0
135,1170.0000000000093,300,0.9347119419591103,62,0
136,116.9499999999997,41,0.9342445859881309,16,0
137,97.69999999999987,26,0.9337774636951368,15,0
138,474.4500000000009,71,0.9333105749632893,34,0
139,1118.0000000000102,300,0.9328439196758077,59,0
140,928.0000000000105,300,0.9323774977159699,50,0
141,560.7500000000041,165,0.9319113089671119,39,0
142,197.5999999999998,28,0.9314453533126285,20,0
143,807.0000000000109,300,0.9309796306359722,43,0
144,450.9500000000001,81,0.9305141408206543,33,0
145,91.44999999999965,51,0.9300488837502441,15,0
146,370.80000000000103,104,0.9295838593083691,29,0
147,465.85000000000235,123,0.929119067378715,34,0
148,660.800000000005,204,0.9286545078450257,45,0
149,1068.000000000011,300,0.9281901805911033,56,0
150,248.94999999999948,61,0.9277260855008077,23,0
151,544.1500000000008,97,0.9272622224580573,38,0
152,1705.0500000000097,299,0.9267985913468284,63,1
153,318.7000000000002,86,0.926335192051155,27,0
154,448.74999999999994,85,0.9258720244551295,33,0
155,-62.700000000000045,14,0.925409088442902,7,0
156,-40.75000000000006,15,0.9249463838986807,8,0
157,526.850000000001,103,0.9244839107067314,37,0
158,1007.0000000000098,300,0.9240216687513781,53,0
159,547.9500000000012,101,0.9235596579170025,38,0
160,477.95000000000067,121,0.923097878088044,35,0
161,-50.950000000000244,39,0.9226363291490001,8,0
162,724.5500000000034,129,0.9221750109844257,47,0
163,646.700000000003,186,0.9217139234789336,44,0
164,97.79999999999961,44,0.9212530665171942,15,0
165,1063.0000000000082,300,0.9207924399839357,56,0
166,836.2500000000045,175,0.9203320437639437,54,0
167,97.74999999999983,25,0.9198718777420618,15,0
168,234.54999999999967,49,0.9194119418031909,22,0
169,953.3500000000045,253,0.9189522358322894,60,0
170,467.8500000000003,63,0.9184927597143733,34,0
171,872.0500000000072,259,0.9180335133345161,56,0
172,409.1500000000016,97,0.917574496577849,31,0
173,158.54999999999984,29,0.9171157093295601,18,0
174,288.6999999999992,86,0.9166571514748953,25,0
175,320.5499999999991,89,0.916198822899158,27,0
176,133.64999999999958,47,0.9157407234877085,17,0
177,670.6500000000037,147,0.9152828531259647,45,0
178,-8.350000000000023,27,0.9148252116994018,10,0
179,425.45000000000056,91,0.9143677990935521,32,0
180,16.699999999999847,26,0.9139106151940054,11,0
181,376.7000000000011,126,0.9134536598864085,30,0
182,176.29999999999978,34,0.9129969330564653,19,0
183,486.8500000000027,123,0.9125404345899372,35,0
184,1122.00000000001,300,0.9120841643726423,59,0
185,419.65000000000185,127,0.911628122290456,32,0
186,637.550000000002,149,0.9111723082293108,43,0
187,603.2000000000023,116,0.9107167220751963,41,0
188,77.64999999999992,27,0.9102613637141588,14,0
189,243.0999999999995,58,0.9098062330323018,23,0
190,770.3000000000036,154,0.9093513299157857,50,0
191,-21.75000000000003,15,0.9088966542508279,9,0
192,597.2500000000002,115,0.9084422059237025,41,0
193,523.3500000000054,233,0.9079879848207407,38,0
194,584.6500000000024,127,0.9075339908283304,40,0
195,-20.700000000000017,14,0.9070802238329163,9,0
196,608.300000000002,174,0.9066266837209999,42,0
197,332.59999999999974,48,0.9061733703791394,27,0
198,1098.0000000000114,300,0.9057202836939499,58,0
199,288.89999999999895,122,0.9052674235521029,26,0
200,1058.0000000000089,300,0.9048147898403269,55,0
201,247.34999999999928,93,0.9043623824454068,23,0
202,47.54999999999961,49,0.9039102012541841,13,0
203,735.9000000000042,162,0.9034582461535571,48,0
204,674.0000000000014,160,0.9030065170304803,45,0
205,94.64999999999975,47,0.9025550137719651,15,0
206,594.4000000000024,192,0.9021037362650792,41,0
207,354.29999999999956,154,0.9016526843969468,29,0
208,268.7999999999992,84,0.9012018580547484,24,0
209,458.8000000000007,84,0.900751257125721,34,0
210,933.5500000000047,169,0.9003008814971583,58,0
211,589.9000000000019,222,0.8998507310564098,42,0
212,-80.30000000000001,6,0.8994008056908817,6,0
213,136.64999999999986,27,0.8989511052880362,17,0
214,661.2000000000016,136,0.8985016297353923,44,0
215,638.5500000000036,149,0.8980523789205246,43,0
216,192.89999999999964,42,0.8976033527310644,20,0
217,-122.30000000000001,6,0.8971545510546989,4,0
218,828.4500000000066,211,0.8967059737791716,53,0
219,593.05,139,0.8962576207922821,41,0
