episode,reward,length,epsilon,pellets,win
1,2742.849999999992,963,1.0,146,0
2,3175.8499999998903,963,1.0,167,0
3,1036.4000000000033,132,1.0,63,0
4,2170.8499999999726,963,1.0,118,0
5,1150.850000000007,303,1.0,71,0
6,3227.3499999999594,713,1.0,179,0
7,3183.849999999962,963,1.0,169,0
8,3577.8499999998753,963,1.0,187,0
9,3030.849999999974,963,1.0,161,0
10,1953.750000000007,285,1.0,110,0
11,2312.849999999997,963,1.0,127,0
12,2642.849999999998,903,1.0,152,0
13,1642.8000000000197,564,1.0,98,0
14,3685.849999999934,963,1.0,194,0
15,1290.3500000000088,293,1.0,77,0
16,1271.5500000000118,329,1.0,77,0
17,3080.1499999999787,657,1.0,170,0
18,2781.849999999928,963,1.0,148,0
19,2167.8500000000313,963,1.0,119,0
20,3959.849999999921,963,1.0,207,0
21,3255.8499999999453,963,1.0,172,0
22,906.4000000000069,232,1.0,58,0
23,428.2000000000001,56,1.0,32,0
24,2615.849999999978,963,1.0,139,0
25,2338.8500000000267,963,1.0,125,0
26,2388.049999999955,899,1.0,138,0
27,3769.849999999907,963,1.0,197,0
28,307.09999999999883,118,1.0,26,0
29,715.2000000000021,136,1.0,47,0
30,1656.6000000000126,368,1.0,96,0
31,1477.9000000000096,322,1.0,87,0
32,3417.8499999999644,963,1.0,179,0
33,2474.9500000000025,461,1.0,138,0
34,2402.8499999999613,963,1.0,129,0
35,3704.849999999879,963,1.0,195,0
36,1493.5500000000354,889,1.0,93,0
37,3917.849999999928,963,1.0,204,0
38,1097.2000000000075,316,1.0,68,0
39,1120.5000000000036,170,1.0,67,0
40,4172.849999999951,963,1.0,218,0
41,2114.300000000018,654,1.0,121,0
42,1212.7000000000146,426,1.0,74,0
43,1526.8500000000388,963,1.0,87,0
44,3634.8499999999385,963,1.0,191,0
45,3182.8499999998858,963,1.0,169,0
46,836.050000000004,199,1.0,54,0
47,2634.8499999999663,963,1.0,141,0
48,1372.650000000028,747,1.0,87,0
49,1104.7500000000232,605,1.0,71,0
50,4364.849999999921,963,1.0,227,0
51,2932.549999999945,669,1.0,164,0
52,3435.8499999999167,963,1.0,181,0
53,3309.849999999949,963,1.0,175,0
54,2535.549999999978,609,1.0,143,0
55,2679.849999999985,963,1.0,143,0
56,3111.199999999937,676,1.0,172,0
57,187.5999999999985,148,1.0,21,0
58,3162.849999999992,803,1.0,174,0
59,2701.8499999999963,963,1.0,144,0
60,3976.8499999999426,963,1.0,206,0
61,2539.8499999999326,963,1.0,137,0
62,3269.09999999994,858,1.0,181,0
63,2653.299999999953,674,1.0,150,0
64,2926.8499999999044,963,1.0,155,0
65,1405.0000000000236,580,1.0,86,0
66,3339.8499999999217,963,1.0,177,0
67,2447.849999999927,963,1.0,132,0
68,2734.849999999957,963,1.0,147,0
69,2317.850000000032,963,1.0,126,0
70,2289.850000000009,963,1.0,124,0
71,3540.84999999992,963,1.0,186,0
72,2990.84999999993,963,1.0,158,0
73,3367.9999999999322,940,1.0,186,0
74,1355.8000000000045,224,1.0,79,0
75,1273.0500000000081,259,1.0,76,0
76,2046.5500000000213,749,1.0,119,0
77,3258.8499999999303,963,1.0,171,0
78,2381.949999999982,441,1.0,134,0
